Reviews,Dates
Love this one,20 August 2018
"This induction has gone totally below expectations. As i bought it 3 months ago and it has started creating problems while working, few days after only.. moreover its plastic body has cracked from some points.. It is really pathetic. DO not buy such appliances..",19 August 2018
Good,19 August 2018
"Easy to use, nd best part of this product is very light weight.",19 August 2018
"i use prestige induction since last 5 year,very good product this one also",18 August 2018
It got damaged after 12 days... worst product. Total waste of money.,17 August 2018
Super work,16 August 2018
goodBut last 10 days से ban,16 August 2018
Nice product...,16 August 2018
Make so much noise Other wise good,15 August 2018
Nice product at cheap price. I bought it because it has less consumption of power.,14 August 2018
Too early to comment. So far so good,14 August 2018
Nice product,13 August 2018
Its very useful at the time of empty cylinder.But the bottom of induction plate. Its very useful,13 August 2018
1st one that I ordered didn't work so return and replace. Replacement worked fine. Only thing is the vessel shud properly placed in the centre or it doesn't work.,13 August 2018
Pic20 is super working and original product .So thank amazon...,12 August 2018
Writing review after two months of purchase..Nice product.. working fine.. easy to handle.,12 August 2018
more than expected.,12 August 2018
"I brought this 20 days ago, and now it's not working at all. Whenever I connect it to the power supply, it blows off the fuse.",12 August 2018
Best product..,11 August 2018
Like,10 August 2018
Value for money,10 August 2018
Good,9 August 2018
Very good,9 August 2018
nice product.,9 August 2018
Super product,9 August 2018
Product is really good. Perfect for a budget induction. I have been using prestige product for last 6-7 years and I am very much satisfied.,9 August 2018
Out of work after one month use,7 August 2018
Ordered twice.. stopped working both times in two days,6 August 2018
"This is a wonderful product, I am totally satisfied with this product.",6 August 2018
Good,6 August 2018
Broken top,4 August 2018
Excellent product,4 August 2018
Nice,4 August 2018
Value for money,4 August 2018
Bad product,4 August 2018
"Product was good,genuine packing and delivered safely",4 August 2018
Broken cook top received,3 August 2018
Good but only work steeal pots,3 August 2018
Perfect !,2 August 2018
Very good.,2 August 2018
Nice product easy to handle,2 August 2018
Nice product,2 August 2018
the product which i purchased is not at all working.,2 August 2018
Good product,2 August 2018
not used much but as of now good experience,1 August 2018
good,1 August 2018
Within just 15 days it showed its true color. Product is not working .,31 July 2018
Strong and nice look easy handling,30 July 2018
I'm staying in PG so use,30 July 2018
Good product,29 July 2018
I like the product quality,29 July 2018
It is good product.,28 July 2018
Nice product.,28 July 2018
Nice product,28 July 2018
Nice one,27 July 2018
Worst product ever already ordered the induction stove and received a faulty product then now i hav returned and ordered new one the same problem came again..,27 July 2018
It's don't work non-stick cookbook .. just stainless steel will be work perfectly.,26 July 2018
I like alott...this make my cooking much easier...hppy with the product....,26 July 2018
Very nice product. Delivered before date by amazon. Easy to use and very efficient in cooking.,26 July 2018
Used it couple of times in past 3 months. Not sure of it's quality,26 July 2018
The product is excellent and as per the specifications.,26 July 2018
"Using it for more than a year and no complaints, good for quick cooking.",25 July 2018
Picking was very bad what product was very good,25 July 2018
"Best in class i m using it since last one year ,no problem till now",24 July 2018
As always a standard product from Prestige.,24 July 2018
Good product,23 July 2018
"Product is very good,,",23 July 2018
Received this product in damaged condition,22 July 2018
E0 error comingKharab product bhej diya h,22 July 2018
Received in good condition,22 July 2018
Ok,21 July 2018
Value for money. Good quality and durability.,20 July 2018
After using 1week stopped working from 1st July 18 till now in service centre reason parts are not available. Wrong information given.,19 July 2018
"I am very happy with this product, it's such an amazing product from prestige and the function is very easy and fast.",19 July 2018
good,19 July 2018
Nice product. I am using this still.,19 July 2018
Good product,18 July 2018
Very nice my milk got heated just in five minutes.its amazing use flat vessels to cook or else the stove doesn't start,18 July 2018
"Induction is not working, i am gettig E1 error",18 July 2018
Very good and affordable product,17 July 2018
working good. now cooking process was soo simply.This is my second review.after completed 2 years still working good and cleaning was soo easy..must buy.,17 July 2018
this product is genuine.you should go for itwithout asking any one. its working fine. it takes very less time to heat milk as compare to pigeon.......,17 July 2018
excellent,16 July 2018
Worst product. Stopped working the 3rd day only... Showing too much error codes.,16 July 2018
"no complaints..., it's very nice to cook...",15 July 2018
Easy to use for first time cooks .,15 July 2018
very nice,14 July 2018
Very good and hot early,13 July 2018
nice to use,12 July 2018
Not working since yesterday ie. 11/7/18.,12 July 2018
product notWorking,12 July 2018
Super,11 July 2018
This is a pretty powerful easy to use induction cook top from prestige. But we need to know that the max power output from this is 1200W so the cooking will be pretty slow. Boiling water takes some time too. I will recommend users to buy a higher power stove because it aids faster cooking. Also the button are not touch so it will make it harder to press than to touch.The cooking area is good enough for most of the utensil sizes. But length of the wire could have been little longer. I am not sure why Amazon gives this as recommended when there are others with better features. Also I felt the stove may not last 3-4 years. It may at the maximum hold its state for 1 year or so. I may not be able to update my review then. But surely the content does not look very great.It does heat up the plastic and ceramic used so please be little careful while using it. One most important thing is that we can use most of the STAIN LESS STEEL utensil we have in our house as this cook top supports it.Please click on helpful if you find it helpful.Thanks for reading,11 July 2018
